id,Residential,Workplace,Transit,Park,Grocery,Retail,School closing,Workplace closing,Concel public events,Restrictions on gathering size,Closing public transport,Stay at home requirement,Restrictions on internal movements,International travel controls
65,-39,60,65.1612903,63.3870968,18.9677419,63.7419355,100,78.49462366,100,50,0,66.66666667,100,75
66,-29.6,38.7333333,47.8333333,49.8,10.8666667,48.0666667,35.55555556,66.66666667,100,50,0,53.33333333,60,75
67,-23.0645161,32.3225806,36.7741935,27.0645161,2.5483871,27.1290323,33.33333333,66.66666667,100,50,0,33.33333333,0,75
68,-17.8387097,23.1935484,32.7096774,17,1.9032258,22.1612903,33.33333333,66.66666667,100,50,0,33.33333333,0,75
69,-16.0666667,20,31.2666667,17.4,1.9333333,19.2333333,33.33333333,66.66666667,100,50,0,33.33333333,0,75
70,-14.3870968,14.6451613,27.483871,14.4516129,-2.4516129,17.7096774,33.33333333,66.66666667,50,50,0,33.33333333,0,75
71,-14.1333333,15.5,27.3333333,16.7666667,-2.1,15.7666667,33.33333333,66.66666667,50,50,0,33.33333333,0,75
72,-13.9354839,19.9354839,25.0967742,3.6774194,-5.516129,11.8387097,33.33333333,66.66666667,50,72.58064516,0,33.33333333,0,75
73,0,0,0,0,0,0,0,0,0,0,0,0,0,4.838709677
74,-1.4,-2.4,4,1.9333333,3.8,3.8,0,0,0,0,0,0,0,75
75,-16.1935484,27.483871,35.5806452,27.3225806,17.6774194,36.0967742,58.06451613,45.16129032,54.03225806,32.25806452,0,15.05376344,45.16129032,75
76,-36,59.0333333,79.5333333,60.2,46.2666667,78.2333333,100,100,100,50,0,33.33333333,100,75
77,-23.9032258,38.3548387,58.3225806,47.7419355,16.4516129,58.8064516,100,69.89247312,100,57.25806452,0,33.33333333,100,82.25806452
78,-12.2,21.6333333,33.8,21.3,4.9333333,34.5,92.22222222,66.66666667,100,57.5,0,10,30,90
79,-7.5806452,17.2903226,24.0967742,6.3225806,-0.1290323,21.8064516,55.91397849,66.66666667,100,50,0,0,0,75
80,-6.0645161,18.0322581,24.5806452,-1.5806452,-1.2580645,18.2258065,48.92473118,66.66666667,100,50,0,0,70.16129032,75
81,-6.3666667,14.2,25.8666667,7.1,0.5333333,18.4,38.88888889,67.77777778,100,50,0,0,75,66.66666667
82,-12.5483871,19.4516129,44.516129,27.0967742,5.5483871,30.516129,70.43010753,73.65591398,100,50,4.838709677,29.03225806,75,50
83,-16.6333333,23.3,54.5666667,36.2666667,9.5666667,34.5333333,95,80,100,85,25,50,75,96.66666667
84,-12.4193548,23.5806452,38.9354839,13.7419355,2.6129032,24.6129032,100,69.89247312,59.67741935,87.5,45.16129032,50,34.67741935,79.83870968
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.2,-1,-9.9333333,-10.9333333,-0.7333333,-3.4666667,0,0,0,0,0,0,0,24.13793103
87,-6.0645161,15.2258065,17.4516129,7.516129,1.6451613,16.483871,38.70967742,6.451612903,51.61290323,38.70967742,0,0,0,63.70967742
88,-25.0869565,64.9666667,78.1333333,54.6666667,48.6666667,68.5,100,95.55555556,100,75,0,6.666666667,100,100
89,-16,40.0322581,55.516129,32,22.0322581,40.9677419,100,84.94623656,100,88.70967742,0,59.13978495,100,100
90,-10.9,24.6666667,42.4333333,20.6,7.6666667,23.6333333,100,66.66666667,100,83.33333333,0,66.66666667,50,100
91,-8.6774194,23.8387097,37.7741935,13.3870968,5,17.2580645,100,66.66666667,100,75,0,33.33333333,50,100
92,-13.3225806,32.6551724,48.6875,24.75,11.6875,30.5,100,80.10752688,100,64.91935484,0,33.33333333,70.16129032,100
93,-12.0333333,34.7586207,47.9,3.85,9.3,18.95,100,67.22222222,100,98.75,0,33.33333333,75,75.83333333
94,-9.7096774,28.3225806,43.9032258,1.483871,2.4516129,18.2903226,100,66.66666667,100,100,0,33.33333333,75,39.51612903
95,-12,33.7666667,45.5333333,5.8666667,3.9666667,20.7666667,100,66.66666667,100,100,5,33.33333333,75,25
96,-11.3548387,33.9032258,38.6129032,-6.3548387,-7.3870968,14.1935484,100,66.66666667,100,100,50,33.33333333,75,25
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,-1.9333333,-0.0666667,6.6666667,3.4,1.5333333,7.8,0,0,0,0,0,0,0,0
99,-16,22.7419355,41.0967742,34.6129032,26.8709677,39.9354839,64.51612903,36.55913978,64.51612903,52.41935484,50,32.25806452,35.48387097,46.77419355
100,-37.7,74.7333333,83.6666667,78.6333333,74.2666667,84.9666667,100,100,100,100,100,66.66666667,100,100
101,-33.4516129,61.8387097,77.0967742,70.6129032,67.0322581,77.3870968,100,100,100,100,94.35483871,66.66666667,100,100
102,-27.6,47,65.2,54.5,50.3333333,63.9666667,100,80.55555556,100,100,75,68.88888889,79.16666667,100
103,-26.1290323,45.483871,61.0645161,52.8387097,44.6451613,59.1935484,100,66.66666667,100,100,75,66.66666667,100,100
104,-23.2903226,40.4516129,56.1290323,49.1612903,41.2580645,54.6774194,100,66.66666667,100,100,75,66.66666667,100,100
105,-15.5666667,25.3666667,38.2666667,32.4333333,23.1333333,41.2333333,100,66.66666667,100,100,75,66.66666667,100,25
